,0,1
0,Santa Monica,"10,989.66"
1,Torrance,"7,187.96"
2,Santa Fe Springs,"2,031.67"
3,Norwalk,"10,936.04"
4,Agoura Hills,"2,662.00"
5,Calabasas,"1,763.90"
6,Thousand Oaks,"2,335.69"
7,Westlake Village,"1,629.77"
8,Burbank,"6,018.61"
9,San Fernando,"10,411.54"
10,Santa Clarita,"3,449.12"
11,Castaic,"2,600"
12,Palmdale,"1,484.95"
13,Acton,190
14,Lancaster,"1,697.87"
15,Ladera Heights,"2,200"
16,Inglewood,"12,202.69"
17,View Park-Windsor Hills,"6,000"
18,Hawthorne,"14,476.40"
19,Gardena,"10,301.60"
20,West Athens,"6,500"
21,Alondra Park,"7,500"
22,Lawndale,"16,790.78"
23,Redondo Beach,"10,949.82"
24,El Segundo,"3,092.26"
25,Culver City,"7,701.82"
26,Manhattan Beach,"9,078.23"
27,Hermosa Beach,"13,867.55"
28,Beverly Hills,"6,076.91"
29,West Hollywood,"19,447.80"
30,Malibu,650.65
31,East Los Angeles,"17,000"
32,Monterey Park,"7,962.84"
33,Commerce,"1,984.25"
34,Montebello,"7,601.42"
35,Pico Rivera,"7,670.56"
36,Rosemead,"10,557.92"
37,Alhambra,"11,200.89"
38,South Pasadena,"7,610.28"
39,Pasadena,"6,181.05"
40,San Gabriel,"9,747.65"
41,Arcadia,"5,356.80"
42,Temple City,"9,082.17"
43,Glendale,"6,599.34"
44,La Crescenta-Montrose,"5,700"
45,Sierra Madre,"3,744.33"
46,Monrovia,"2,729.05"
47,La Canada Flintridge,"2,369.84"
48,Altadena,"4,900"
49,Florence-Graham,"18,000"
50,Westmont,"17,000"
51,Willowbrook,"9,500"
52,Carson,"4,956.31"
53,Compton,"9,727.76"
54,Lynwood,"14,708.06"
55,Huntington Park,"19,541.65"
56,South Gate,"13,203.15"
57,Cudahy,"20,508.94"
58,Bell,"14,339.86"
59,Bell Gardens,"17,407.89"
60,Downey,"9,128.55"
61,Paramount,"11,611.12"
62,Bellflower,"12,714.94"
63,Maywood,"23,457.56"
64,La Mirada,"6,292.00"
65,Cerritos,"5,796.26"
66,Artesia,"10,409.62"
67,La Palma,"8,846.89"
68,Lakewood,"8,614.29"
69,Hawaiian Gardens,"15,266.88"
70,Long Beach,"9,343.55"
71,Cypress,"7,393.20"
72,Signal Hill,"5,353.40"
73,Seal Beach,"2,166.28"
74,West Carson,"9,500"
75,Lomita,"10,828.36"
76,Avalon,"1,283.48"
77,Palos Verdes Estates,"2,845.83"
78,Rancho Palos Verdes,"3,151.04"
79,Rolling Hills Estates,"2,306.25"
80,South Whittier,"11,000"
81,La Habra,"8,385.10"
82,Whittier,"5,930.99"
83,South El Monte,"7,345.41"
84,El Monte,"12,111.17"
85,Avocado Heights,"5,400"
86,West Whittier-Los Nietos,"10,000"
87,La Puente,"11,605.92"
88,Hacienda Heights,"4,800"
89,Valinda,"11,000"
90,West Covina,"6,723.21"
91,Rowland Heights,"3,700"
92,Covina,"6,907.94"
93,Diamond Bar,"3,816.73"
94,Claremont,"2,700.85"
95,Pomona,"6,643.75"
96,La Verne,"3,841.66"
97,San Dimas,"2,283.57"
98,Baldwin Park,"11,531.29"
99,Duarte,"3,258.74"
100,Azusa,"5,139.60"
101,Glendora,"2,672.46"
102,Walnut,"3,341.53"
103,Montclair,"7,058.91"
104,Chino Hills,"1,764.15"
105,Upland,"4,908.72"
106,Buena Park,"7,904.56"
107,Los Alamitos,"2,893.09"
108,Fullerton,"6,272.95"
109,Rosamond,350
